	Gene	Description
CCG6	CACNG6	Voltage-dependent calcium channel gamma-6 subunit
OR2H1	OR2H1	Olfactory receptor 2H1
PARL	PARL	Presenilins-associated rhomboid-like protein, mitochondrial
KCQ1D	KCNQ1DN	KCNQ1 downstream neighbor protein
ST20	ST20	Suppressor of tumorigenicity 20 protein
PGAP6	PGAP6	Post-GPI attachment to proteins factor 6
GPC5C	GPRC5C	G-protein coupled receptor family C group 5 member C
PDLI7	PDLIM7	PDZ and LIM domain protein 7
RM35	MRPL35	39S ribosomal protein L35, mitochondrial
PSD13	PSMD13	26S proteasome non-ATPase regulatory subunit 13
TA6P		Putative TAP2-associated 6.5 kDa polypeptide
OARD1	OARD1	ADP-ribose glycohydrolase OARD1
HES2	HES2	Transcription factor HES-2
S4R3C0	IGHV3OR16-17	Immunoglobulin heavy variable 3/OR16-17 (non-functional) (Fragment)
A0A075B712	TRAJ54	T cell receptor alpha joining 54 (Fragment)
TVAZ2	TRAV26-2	T cell receptor alpha variable 26-2
HV103	IGHV1-3	Immunoglobulin heavy variable 1-3
A0A3B3IRQ3	LOC112267897	Keratin-associated protein 21-1-like
WDR91	WDR91	WD repeat-containing protein 91
CBY3	CBY3	Protein chibby homolog 3
F1712	FAM171A2	Protein FAM171A2
AG1L2	ALG1L2	Putative glycosyltransferase ALG1L2
PLD2	PLD2	Phospholipase D2
HDAC3	HDAC3	Histone deacetylase 3
LEU1	DLEU1	Leukemia-associated protein 1
VP26A	VPS26A	Vacuolar protein sorting-associated protein 26A
U520	SNRNP200	U5 small nuclear ribonucleoprotein 200 kDa helicase
DXO	DXO	Decapping and exoribonuclease protein
AGFG2	AGFG2	Arf-GAP domain and FG repeat-containing protein 2
NDUB6	NDUFB6	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
CD4	CD4	T-cell surface glycoprotein CD4
DPB1	HLA-DPB1	HLA class II histocompatibility antigen, DP beta 1 chain
S10A6	S100A6	Protein S100-A6
ELNE	ELANE	Neutrophil elastase
RB40L	RAB40AL	Ras-related protein Rab-40A-like
TMIG3	TMIGD3	Transmembrane domain-containing protein TMIGD3
IGLC2	IGLC2	Immunoglobulin lambda constant 2
EFCE2	EEF1AKMT4-ECE2	EEF1AKMT4-ECE2 readthrough transcript protein
CH60	HSPD1	60 kDa heat shock protein, mitochondrial
ADT1	SLC25A4	ADP/ATP translocase 1
SRC	SRC	Proto-oncogene tyrosine-protein kinase Src
LEG3	LGALS3	Galectin-3
AT5F1	ATP5PB	ATP synthase F(0) complex subunit B1, mitochondrial
RXRB	RXRB	Retinoic acid receptor RXR-beta
HSP74	HSPA4	Heat shock 70 kDa protein 4
GLR	GCGR	Glucagon receptor
MAX	MAX	Protein max
LYSC	LYZ	Lysozyme C
DAD1	DAD1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1
UB2G1	UBE2G1	Ubiquitin-conjugating enzyme E2 G1
TF65	RELA	Transcription factor p65
FOXD4	FOXD4	Forkhead box protein D4
EI2BE	EIF2B5	Translation initiation factor eIF-2B subunit epsilon
MTR1L	GPR50	Melatonin-related receptor
TF2H2	GTF2H2	General transcription factor IIH subunit 2
GAS6	GAS6	Growth arrest-specific protein 6
GRM3	GRM3	Metabotropic glutamate receptor 3
TATD3	TATDN3	Putative deoxyribonuclease TATDN3
ERC6L	ERCC6L	DNA excision repair protein ERCC-6-like
OD3L2	ODF3L2	Outer dense fiber protein 3-like protein 2
CT47A	CT47A12	Cancer/testis antigen 47A
INT6L	INTS6L	Integrator complex subunit 6-like
SAPC1	SAPCD1	Suppressor APC domain-containing protein 1
ADCL4	AADACL4	Arylacetamide deacetylase-like 4
DEN4C	DENND4C	DENN domain-containing protein 4C
TTBK2	TTBK2	Tau-tubulin kinase 2
PNCB	NAPRT	Nicotinate phosphoribosyltransferase
ZN621	ZNF621	Zinc finger protein 621
SSH2	SSH2	Protein phosphatase Slingshot homolog 2
DB132	DEFB132	Beta-defensin 132
GP149	GPR149	Probable G-protein coupled receptor 149
TTC7B	TTC7B	Tetratricopeptide repeat protein 7B
GPBP1	GPBP1	Vasculin
PRSR1	PROSER1	Proline and serine-rich protein 1
CNGA4	CNGA4	Cyclic nucleotide-gated cation channel alpha-4
APLF	APLF	Aprataxin and PNK-like factor
ZN695	ZNF695	Zinc finger protein 695
SLN12	SLFN12	Schlafen family member 12
CKLF4	CMTM4	CKLF-like MARVEL transmembrane domain-containing protein 4
CCAR2	CCAR2	Cell cycle and apoptosis regulator protein 2
CD033	C4orf33	UPF0462 protein C4orf33
POC5	POC5	Centrosomal protein POC5
FNIP1	FNIP1	Folliculin-interacting protein 1
TRI41	TRIM41	E3 ubiquitin-protein ligase TRIM41
NEUR4	NEU4	Sialidase-4
ZN592	ZNF592	Zinc finger protein 592
TNR14	TNFRSF14	Tumor necrosis factor receptor superfamily member 14
CAZA3	CAPZA3	F-actin-capping protein subunit alpha-3
CL042	C12orf42	Uncharacterized protein C12orf42
RMD2	RMDN2	Regulator of microtubule dynamics protein 2
OR2A7	OR2A7	Olfactory receptor 2A7
NEB2	PPP1R9B	Neurabin-2
MBOA4	MBOAT4	Ghrelin O-acyltransferase
SSX3	SSX3	Protein SSX3
DPYL5	DPYSL5	Dihydropyrimidinase-related protein 5
ST4A1	SULT4A1	Sulfotransferase 4A1
AMNLS	AMN	Protein amnionless
TBL1R	TBL1XR1	F-box-like/WD repeat-containing protein TBL1XR1
ZN436	ZNF436	Zinc finger protein 436
CLC4M	CLEC4M	C-type lectin domain family 4 member M
KC1G1	CSNK1G1	Casein kinase I isoform gamma-1
GOPC	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein
THSD1	THSD1	Thrombospondin type-1 domain-containing protein 1
MBNL3	MBNL3	Muscleblind-like protein 3
HPF1	HPF1	Histone PARylation factor 1
S30BP	SAP30BP	SAP30-binding protein
FBW1B	FBXW11	F-box/WD repeat-containing protein 11
PKHH1	PLEKHH1	Pleckstrin homology domain-containing family H member 1
ANKR6	ANKRD6	Ankyrin repeat domain-containing protein 6
KIF3A	KIF3A	Kinesin-like protein KIF3A
PCDB3	PCDHB3	Protocadherin beta-3
PCDA8	PCDHA8	Protocadherin alpha-8
TNPO3	TNPO3	Transportin-3
CAD10	CDH10	Cadherin-10
LV310	IGLV3-10	Immunoglobulin lambda variable 3-10
HV343	IGHV3-43	Immunoglobulin heavy variable 3-43
A0A0J9YW22	IGHD3-9	Immunoglobulin heavy diversity 3-9 (Fragment)
TEX50	TEX50	Testis-expressed protein 50
A0N4X2	TRAJ40	Possible J 40 gene segment (Fragment)
ARH37	ARHGEF37	Rho guanine nucleotide exchange factor 37
T150B	TMEM150B	Modulator of macroautophagy TMEM150B
STRCL	STRCP1	Putative stereocilin-like protein
PM2P5	PMS2P5	Postmeiotic segregation increased 2-like protein 5
BTNLA	BTNL10	Butyrophilin-like protein 10
ZN878	ZNF878	Zinc finger protein 878
ASURF	ASDURF	ASNSD1 upstream open reading frame protein
CDX4	CDX4	Homeobox protein CDX-4
ARPC3	ARPC3	Actin-related protein 2/3 complex subunit 3
CE104	CEP104	Centrosomal protein of 104 kDa
G37L1	GPR37L1	G-protein coupled receptor 37-like 1
CIB2	CIB2	Calcium and integrin-binding family member 2
GATB	GATB	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial
SC31A	SEC31A	Protein transport protein Sec31A
ATP6	MT-ATP6	ATP synthase subunit a
CXL10	CXCL10	C-X-C motif chemokine 10
TRFE	TF	Serotransferrin
PGS2	DCN	Decorin
PSPB	SFTPB	Pulmonary surfactant-associated protein B
ASNS	ASNS	Asparagine synthetase [glutamine-hydrolyzing]
FREM3	FREM3	FRAS1-related extracellular matrix protein 3
ERR1	ESRRA	Steroid hormone receptor ERR1
MYL4	MYL4	Myosin light chain 4
HME2	EN2	Homeobox protein engrailed-2
PBLD	PBLD	Phenazine biosynthesis-like domain-containing protein
CASP3	CASP3	Caspase-3
CD151	CD151	CD151 antigen
IDH3A	IDH3A	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial
CO4A4	COL4A4	Collagen alpha-4(IV) chain
ATN1	ATN1	Atrophin-1
CNTP1	CNTNAP1	Contactin-associated protein 1
SERF2	SERF2	Small EDRK-rich factor 2
PR20A	PRR20A	Proline-rich protein 20A
PSG4	PSG4	Pregnancy-specific beta-1-glycoprotein 4
GNDS	RALGDS	Ral guanine nucleotide dissociation stimulator
UT1	SLC14A1	Urea transporter 1
NNTM	NNT	NAD(P) transhydrogenase, mitochondrial
CUL4A	CUL4A	Cullin-4A
GCKR	GCKR	Glucokinase regulatory protein
ZYX	ZYX	Zyxin
H2A2C	H2AC20	Histone H2A type 2-C
CMAS1	C21orf62-AS1	Putative uncharacterized protein C21orf62-AS1
WDR72	WDR72	WD repeat-containing protein 72
IN80D	INO80D	INO80 complex subunit D
TBCEL	TBCEL	Tubulin-specific chaperone cofactor E-like protein
LY66F	LY6G6F	Lymphocyte antigen 6 complex locus protein G6f
TI23B	TIMM23B	Mitochondrial import inner membrane translocase subunit Tim23B
CA194	C1orf194	Protein C1orf194
AT7L2	ATXN7L2	Ataxin-7-like protein 2
RBM26	RBM26	RNA-binding protein 26
ZC3HE	ZC3H14	Zinc finger CCCH domain-containing protein 14
ETV3L	ETV3L	ETS translocation variant 3-like protein
MFSD6	MFSD6	Major facilitator superfamily domain-containing protein 6
NUD18	NUDT18	8-oxo-dGDP phosphatase NUDT18
SPT6H	SUPT6H	Transcription elongation factor SPT6
MTEF4	MTERF4	Transcription termination factor 4, mitochondrial
GLRX5	GLRX5	Glutaredoxin-related protein 5, mitochondrial
F131B	FAM131B	Protein FAM131B
CEP57	CEP57	Centrosomal protein of 57 kDa
HIPK1	HIPK1	Homeodomain-interacting protein kinase 1
O5AS1	OR5AS1	Olfactory receptor 5AS1
TT39C	TTC39C	Tetratricopeptide repeat protein 39C
PTGR2	PTGR2	Prostaglandin reductase 2
CAST3	CASTOR3	Putative protein CASTOR 3
CH058	C8orf58	Uncharacterized protein C8orf58
O10AD	OR10AD1	Olfactory receptor 10AD1
FNDC9	FNDC9	Fibronectin type III domain-containing protein 9
METL6	METTL6	tRNA N(3)-methylcytidine methyltransferase METTL6
RSLAA	RASL10A	Ras-like protein family member 10A
KAT5	KAT5	Histone acetyltransferase KAT5
NUD16	NUDT16	U8 snoRNA-decapping enzyme
DDX11	DDX11	ATP-dependent DNA helicase DDX11
BICD1	BICD1	Protein bicaudal D homolog 1
CI085	C9orf85	Uncharacterized protein C9orf85
YPEL4	YPEL4	Protein yippee-like 4
K1908	PSMG3-AS1	Putative uncharacterized protein PSMG3-AS1
PCY2	PCYT2	Ethanolamine-phosphate cytidylyltransferase
B9D2	B9D2	B9 domain-containing protein 2
TCF25	TCF25	Transcription factor 25
SCMC3	SLC25A23	Calcium-binding mitochondrial carrier protein SCaMC-3
ALG2	ALG2	Alpha-1,3/1,6-mannosyltransferase ALG2
LGR6	LGR6	Leucine-rich repeat-containing G-protein coupled receptor 6
ZN331	ZNF331	Zinc finger protein 331
MA1C1	MAN1C1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC
RASF1	RASSF1	Ras association domain-containing protein 1
S35D1	SLC35D1	UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter
F217B	FAM217B	Protein FAM217B
TM39A	TMEM39A	Transmembrane protein 39A
ATS9	ADAMTS9	A disintegrin and metalloproteinase with thrombospondin motifs 9
EGFL7	EGFL7	Epidermal growth factor-like protein 7
ZN222	ZNF222	Zinc finger protein 222
CES1P	CES1P1	Putative inactive carboxylesterase 4
PKHA6	PLEKHA6	Pleckstrin homology domain-containing family A member 6
RL36	RPL36	60S ribosomal protein L36
GPR45	GPR45	Probable G-protein coupled receptor 45
A0A075B6V9	TRAJ59	T cell receptor alpha joining 59 (non-functional) (Fragment)
A0A075B710	TRAJ39	T cell receptor alpha joining 39 (Fragment)
A0A0A0MT82	IGLJ2	Immunoglobulin lambda joining 2 (Fragment)
HV321	IGHV3-21	Immunoglobulin heavy variable 3-21
SCGR1	SCYGR1	Small cysteine and glycine repeat-containing protein 1
A0A2R8YD15		Uncharacterized protein
GAG10	GAGE10	G antigen 10
SRRM3	SRRM3	Serine/arginine repetitive matrix protein 3
UBXN8	UBXN8	UBX domain-containing protein 8
NCKP5	NCKAP5	Nck-associated protein 5
ZN263	ZNF263	Zinc finger protein 263
MRP4	ABCC4	ATP-binding cassette sub-family C member 4
PLXB1	PLXNB1	Plexin-B1
CYH3	CYTH3	Cytohesin-3
ATP9B	ATP9B	Probable phospholipid-transporting ATPase IIB
SUPT3	SUPT3H	Transcription initiation protein SPT3 homolog
DAB1	DAB1	Disabled homolog 1
RL1D1	RSL1D1	Ribosomal L1 domain-containing protein 1
ERIT1	ERC2-IT1	Putative uncharacterized protein encoded by ERC2-IT1
CSTN1	CLSTN1	Calsyntenin-1
CFAH	CFH	Complement factor H
CTXN2	CTXN2	Cortexin-2
TZAP	ZBTB48	Telomere zinc finger-associated protein
UMPS	UMPS	Uridine 5'-monophosphate synthase
AT2B1	ATP2B1	Plasma membrane calcium-transporting ATPase 1
ALAT1	GPT	Alanine aminotransferase 1
IBP6	IGFBP6	Insulin-like growth factor-binding protein 6
PDIA3	PDIA3	Protein disulfide-isomerase A3
ABC3A	APOBEC3A	DNA dC->dU-editing enzyme APOBEC-3A
HRH1	HRH1	Histamine H1 receptor
TXLNA	TXLNA	Alpha-taxilin
GCST	AMT	Aminomethyltransferase, mitochondrial
EFTU	TUFM	Elongation factor Tu, mitochondrial
DHE4	GLUD2	Glutamate dehydrogenase 2, mitochondrial
MECP2	MECP2	Methyl-CpG-binding protein 2
UDB15	UGT2B15	UDP-glucuronosyltransferase 2B15
MFAP3	MFAP3	Microfibril-associated glycoprotein 3
MAZ	MAZ	Myc-associated zinc finger protein
NUCB2	NUCB2	Nucleobindin-2
OCRL	OCRL	Inositol polyphosphate 5-phosphatase OCRL
RHG05	ARHGAP5	Rho GTPase-activating protein 5
AAMP	AAMP	Angio-associated migratory cell protein
LAMC2	LAMC2	Laminin subunit gamma-2
ITA9	ITGA9	Integrin alpha-9
NFIX	NFIX	Nuclear factor 1 X-type
CNGA3	CNGA3	Cyclic nucleotide-gated cation channel alpha-3
GLTL6	GALNTL6	Polypeptide N-acetylgalactosaminyltransferase-like 6
CA220	C1orf220	Putative uncharacterized protein C1orf220
DCST1	DCST1	E3 ubiquitin-protein ligase DCST1
TET5C	TENT5C	Terminal nucleotidyltransferase 5C
ANO1	ANO1	Anoctamin-1
UD2A3	UGT2A3	UDP-glucuronosyltransferase 2A3
RFLA	RFLNA	Refilin-A
ZN598	ZNF598	E3 ubiquitin-protein ligase ZNF598
LRRT3	LRRTM3	Leucine-rich repeat transmembrane neuronal protein 3
AROS	RPS19BP1	Active regulator of SIRT1
FBX11	FBXO11	F-box only protein 11
ZN843	ZNF843	Zinc finger protein 843
CERS5	CERS5	Ceramide synthase 5
DGLB	DAGLB	Diacylglycerol lipase-beta
BBOF1	BBOF1	Basal body-orientation factor 1
COP1	COP1	E3 ubiquitin-protein ligase COP1
LHPL5	LHFPL5	LHFPL tetraspan subfamily member 5 protein
NEK9	NEK9	Serine/threonine-protein kinase Nek9
HCAR2	HCAR2	Hydroxycarboxylic acid receptor 2
SYTL5	SYTL5	Synaptotagmin-like protein 5
TFB1M	TFB1M	Dimethyladenosine transferase 1, mitochondrial
NANO1	NANOS1	Nanos homolog 1
MY18A	MYO18A	Unconventional myosin-XVIIIa
ARHG1	ARHGEF1	Rho guanine nucleotide exchange factor 1
ESPB1	ELSPBP1	Epididymal sperm-binding protein 1
CC127	CCDC127	Coiled-coil domain-containing protein 127
SCRN2	SCRN2	Secernin-2
Z512B	ZNF512B	Zinc finger protein 512B
BT2A3	BTN2A3P	Putative butyrophilin subfamily 2 member A3
ZN382	ZNF382	Zinc finger protein 382
SH3G2	SH3GL2	Endophilin-A1
DESI2	DESI2	Deubiquitinase DESI2
CCD32	CCDC32	Coiled-coil domain-containing protein 32
SPT16	SPATA16	Spermatogenesis-associated protein 16
KR171	KRTAP17-1	Keratin-associated protein 17-1
S6A16	SLC6A16	Orphan sodium- and chloride-dependent neurotransmitter transporter NTT5
S22A4	SLC22A4	Solute carrier family 22 member 4
BRD8	BRD8	Bromodomain-containing protein 8
MARH7	MARCHF7	E3 ubiquitin-protein ligase MARCHF7
FKRP	FKRP	Fukutin-related protein
TLR8	TLR8	Toll-like receptor 8
CCD87	CCDC87	Coiled-coil domain-containing protein 87
P4HTM	P4HTM	Transmembrane prolyl 4-hydroxylase
CELR1	CELSR1	Cadherin EGF LAG seven-pass G-type receptor 1
OR6C2	OR6C2	Olfactory receptor 6C2
LHX3	LHX3	LIM/homeobox protein Lhx3
ADDG	ADD3	Gamma-adducin
MKRN1	MKRN1	E3 ubiquitin-protein ligase makorin-1
SPB13	SERPINB13	Serpin B13
HACL1	HACL1	2-hydroxyacyl-CoA lyase 1
GNPTG	GNPTG	N-acetylglucosamine-1-phosphotransferase subunit gamma
PA2GD	PLA2G2D	Group IID secretory phospholipase A2
ARIP4	RAD54L2	Helicase ARIP4
ASB4	ASB4	Ankyrin repeat and SOCS box protein 4
HJ01	IGHJ1	Immunoglobulin heavy joining 1
SIM27	SMIM27	Small integral membrane protein 27
A0A494C1R9	TSPY9P	Testis-specific protein Y-linked 9, pseudogene
A0A4W9AIG4	OR2A14	Olfactory receptor
TVB29	TRBV29-1	T cell receptor beta variable 29-1
ELOV7	ELOVL7	Elongation of very long chain fatty acids protein 7
GG12C	GAGE12E	G antigen 12B/C/D/E
PTPC1	PTPDC1	Protein tyrosine phosphatase domain-containing protein 1
FUCM	FUOM	Fucose mutarotase
CE049	C5orf49	Uncharacterized protein C5orf49
CPS4L	CPSF4L	Putative cleavage and polyadenylation specificity factor subunit 4-like protein
RFXAP	RFXAP	Regulatory factor X-associated protein
TYB4Y	TMSB4Y	Thymosin beta-4, Y-chromosomal
SR140	U2SURP	U2 snRNP-associated SURP motif-containing protein
YKT6	YKT6	Synaptobrevin homolog YKT6
ST18	ST18	Suppression of tumorigenicity 18 protein
PEX14	PEX14	Peroxisomal membrane protein PEX14
TULP3	TULP3	Tubby-related protein 3
FGF18	FGF18	Fibroblast growth factor 18
BRD1	BRD1	Bromodomain-containing protein 1
OTC	OTC	Ornithine transcarbamylase, mitochondrial
IFNA1	IFNA13	Interferon alpha-1/13
HV348	IGHV3-48	Immunoglobulin heavy variable 3-48
H2B1J	H2BC11	Histone H2B type 1-J
PA24B	PLA2G4B	Cytosolic phospholipase A2 beta
PATE4	PATE4	Prostate and testis expressed protein 4
HNRPL	HNRNPL	Heterogeneous nuclear ribonucleoprotein L
ARF4	ARF4	ADP-ribosylation factor 4
LBP	LBP	Lipopolysaccharide-binding protein
SSR2	SSTR2	Somatostatin receptor type 2
S5A2	SRD5A2	3-oxo-5-alpha-steroid 4-dehydrogenase 2
BTC	BTC	Probetacellulin
KPCI	PRKCI	Protein kinase C iota type
VASP	VASP	Vasodilator-stimulated phosphoprotein
CASP9	CASP9	Caspase-9
SMD3	SNRPD3	Small nuclear ribonucleoprotein Sm D3
EM55	MPP1	55 kDa erythrocyte membrane protein
FOXE3	FOXE3	Forkhead box protein E3
TBB3	TUBB3	Tubulin beta-3 chain
HDAC1	HDAC1	Histone deacetylase 1
RB33A	RAB33A	Ras-related protein Rab-33A
ARI5B	ARID5B	AT-rich interactive domain-containing protein 5B
NECT1	NECTIN1	Nectin-1
MAR1	MLANA	Melanoma antigen recognized by T-cells 1
S2535	SLC25A35	Solute carrier family 25 member 35
MGT5B	MGAT5B	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B
A20A4	ANKRD20A4P	Putative ankyrin repeat domain-containing protein 20A4
ZN831	ZNF831	Zinc finger protein 831
DAB2P	DAB2IP	Disabled homolog 2-interacting protein
PLPP4	PLPP4	Phospholipid phosphatase 4
Z324B	ZNF324B	Zinc finger protein 324B
GTD2B	GTF2IRD2B	General transcription factor II-I repeat domain-containing protein 2B
SIGIR	SIGIRR	Single Ig IL-1-related receptor
OR4CB	OR4C11	Olfactory receptor 4C11
CP4FN	CYP4F22	Cytochrome P450 4F22
C2D1A	CC2D1A	Coiled-coil and C2 domain-containing protein 1A
FAHD1	FAHD1	Acylpyruvase FAHD1, mitochondrial
BAKOR	ATG14	Beclin 1-associated autophagy-related key regulator
GCNT7	GCNT7	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7
TEX43	TEX43	Testis-expressed protein 43
TLCD5	TLCD5	TLC domain-containing protein 5
TMUB2	TMUB2	Transmembrane and ubiquitin-like domain-containing protein 2
GALT7	GALNT7	N-acetylgalactosaminyltransferase 7
HPLN4	HAPLN4	Hyaluronan and proteoglycan link protein 4
WDR75	WDR75	WD repeat-containing protein 75
SCN4B	SCN4B	Sodium channel subunit beta-4
ANKH1	ANKHD1	Ankyrin repeat and KH domain-containing protein 1
ZNF34	ZNF34	Zinc finger protein 34
NAGS	NAGS	N-acetylglutamate synthase, mitochondrial
CAAS1	CACTIN-AS1	Putative uncharacterized protein encoded by CACTIN-AS1
FGRL1	FGFRL1	Fibroblast growth factor receptor-like 1
VATC2	ATP6V1C2	V-type proton ATPase subunit C 2
OR7G2	OR7G2	Olfactory receptor 7G2
O10G8	OR10G8	Olfactory receptor 10G8
STML3	STOML3	Stomatin-like protein 3
DYH5	DNAH5	Dynein axonemal heavy chain 5
AGA11	AGAP11	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 11
STYX	STYX	Serine/threonine/tyrosine-interacting protein
RCN3	RCN3	Reticulocalbin-3
RAB3I	RAB3IP	Rab-3A-interacting protein
OR2M4	OR2M4	Olfactory receptor 2M4
EMC6	EMC6	ER membrane protein complex subunit 6
GNL3	GNL3	Guanine nucleotide-binding protein-like 3
ULBP1	ULBP1	UL16-binding protein 1
NDEL1	NDEL1	Nuclear distribution protein nudE-like 1
TKTL2	TKTL2	Transketolase-like protein 2
FA83D	FAM83D	Protein FAM83D
UNKL	UNKL	Putative E3 ubiquitin-protein ligase UNKL
TANC2	TANC2	Protein TANC2
CF050	C6orf50	Putative uncharacterized protein C6orf50
ZBT40	ZBTB40	Zinc finger and BTB domain-containing protein 40
IL36B	IL36B	Interleukin-36 beta
LMCD1	LMCD1	LIM and cysteine-rich domains protein 1
CACO1	CALCOCO1	Calcium-binding and coiled-coil domain-containing protein 1
ZNF70	ZNF70	Zinc finger protein 70
KCNN3	KCNN3	Small conductance calcium-activated potassium channel protein 3
IKZF2	IKZF2	Zinc finger protein Helios
CSN3	COPS3	COP9 signalosome complex subunit 3
HIG1A	HIGD1A	HIG1 domain family member 1A, mitochondrial
LRP12	LRP12	Low-density lipoprotein receptor-related protein 12
SCGRX	SCYGR10	Small cysteine and glycine repeat-containing protein 10
T120B	TMEM120B	Transmembrane protein 120B
XKRY2	XKRY2	Testis-specific XK-related protein, Y-linked 2
CRNS1	CARNS1	Carnosine synthase 1
TLCD2	TLCD2	TLC domain-containing protein 2
SWAHD	SOWAHD	Ankyrin repeat domain-containing protein SOWAHD
O6C75	OR6C75	Olfactory receptor 6C75
DRS7C	DHRS7C	Dehydrogenase/reductase SDR family member 7C
ACATN	SLC33A1	Acetyl-coenzyme A transporter 1
NPT4	SLC17A3	Sodium-dependent phosphate transport protein 4
AXIN1	AXIN1	Axin-1
MCA3	EEF1E1	Eukaryotic translation elongation factor 1 epsilon-1
ITM2A	ITM2A	Integral membrane protein 2A
NCKX1	SLC24A1	Sodium/potassium/calcium exchanger 1
LY6H	LY6H	Lymphocyte antigen 6H
NDST3	NDST3	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3
CLPT1	CLPTM1	Cleft lip and palate transmembrane protein 1
PX11B	PEX11B	Peroxisomal membrane protein 11B
CO3	C3	Complement C3
IFN21	IFNA21	Interferon alpha-21
H2AB1	H2AB1	Histone H2A-Bbd type 1
RFL3S	RFPL3S	Putative protein RFPL3S
AT8OS	ATXN8OS	Putative protein ATXN8
ZN708	ZNF708	Zinc finger protein 708
MAOM	ME2	NAD-dependent malic enzyme, mitochondrial
ITPI2	ITPRID2	Protein ITPRID2
TNR8	TNFRSF8	Tumor necrosis factor receptor superfamily member 8
EPHA2	EPHA2	Ephrin type-A receptor 2
UBIM	FAU	Ubiquitin-like protein FUBI
CLK2	CLK2	Dual specificity protein kinase CLK2
MRE11	MRE11	Double-strand break repair protein MRE11
AFF3	AFF3	AF4/FMR2 family member 3
FGF8	FGF8	Fibroblast growth factor 8
KCNKA	KCNK10	Potassium channel subfamily K member 10
MYL6	MYL6	Myosin light polypeptide 6
RL10A	RPL10A	60S ribosomal protein L10a
ACHE	CHRNE	Acetylcholine receptor subunit epsilon
RGS1	RGS1	Regulator of G-protein signaling 1
AKAP6	AKAP6	A-kinase anchor protein 6
I15RA	IL15RA	Interleukin-15 receptor subunit alpha
KLF9	KLF9	Krueppel-like factor 9
ZN267	ZNF267	Zinc finger protein 267
AT7L3	ATXN7L3	Ataxin-7-like protein 3
KIF19	KIF19	Kinesin-like protein KIF19
NBPF8	NBPF8	Putative neuroblastoma breakpoint family member 8
MORN2	MORN2	MORN repeat-containing protein 2
